INDEX,NAME,CMC,COST,RARITY,MODIFIER,TYPE,COLOR,ATK,DEF,CARD TEXT,TOPIC,#,FLAVOR TEXT,Summarization,,
101,Put Some Back,6,{4}{b}{b},Mythic,,Instant,Blue,-,-,Return target creature from your graveyard to the battlefield defending target attacking creature.,TV,1,"""You took too much... put some back.""",Buff,,
102,Nappa,5,{3}{r/b}{w/r},Rare,Trample,Creature,Red,5,5,"Flying
If a card named Vegeta and Nappa both attack, Nappa gets +2/+1 until end of turn.",ANIME,1,"""Vegeta? Vegeta? Vegeta? Ve-""",,,
103,imJarons,3,{2}{b},Uncommon,,Creature,Blue,1,2,"{t}: Add one mana of any color to your mana pool.
Whenever an opponent creates a Food, create a Food.
You may sacrifice 2 Food rather than pay imJarons' mana cost.",ANIME,2,,Buff,,
104,Muffin Button,2,{w}{w},Rare,,Instant,White,-,-,Create 2 Food tokens. Target creature protection from target color until end of turn.,ANIME,2,,,,
105,Perfect Cell,3,{g/r}{g/r}{r/b},Mythical,,Creature,Green,1,1,"Sacrifice a creature, 2 Food, or 2 Weapons: put a +1/+1 counter on Perfect Cell. 
If there are four or more +1/+1 counters on Perfect Cell, has flying. 
If there are 6 or more, Perfect Cell has First Strike. 
Remove a +1/+1 counter from Perfect Cell, sacrifice a Food, {t}: create a copy of Perfect Cell and place it under your control.",ANIME,1,,,,
106,Vegeta (stronger everytime he almost dies),2,{r}{b/r},Mythical,Legendary,Creature,Red,2,3,"At your end step, if Vegeta blocked a creature this turn, put a +1/+1 counter on him.
If a card named Nappa and Vegeta both attack, Vegeta gains flying and +2/-2 until end of turn.",ANIME,1,,,,
107,EZ CHECK,,,Instant - EVENT,,Instant - EVENT,Green,-,-,"Lasts 1 turn
Each player may tap 2 creatures. Each time the did not, they lose 2 life. If they did tap 2, they make a Food.
",IRL,4,,,,
108,Instant Transmission ,1,{w/u},Uncommon,,Instant,White/Blue,,,"Return target permanent to its owner's hand.
If an Event is occurring, draw a card.",ANIME,3,,,,
109,Haim,1,{w/r},Mythical,Legendary,Creature,White,1,3,"{2}, sacrifice a Treasure: make a food token. Any player may activate this ability; if that player doesn't control Haim, Haim's controller makes a Treasure. If a card named Haim's Battlecar is on the battlefield, Haim gets +1/+1 and makes 2 food instead.",IRL,1,,,,
110,Barbeque Bacon Burger,2,{1}{u/r},Rare,,Sorcery,Blue/Red,,,"Create 5 Foods.
Target player gains control of two.",IRL,3,,Minion,,
111,Terminator,5,{g}{g}{g}{g}{g},Mythical,,Creature,Green,5,5,"Intimidate
When Terminator enters the battlefield, create a Weapon.
If a Weapon you control would deal damage, it deals twice that much instead.",TV,1,,,,
112,Social Credit Score,,,Instant - EVENT,,SPECIAL EVENT,Red,-,-,"Lasts 2 rotations
When this Event begins, each player makes a Food.
At the beginning of each player's upkeep, they take 3 damage if they have less than 2 Foods.",IRL,2,,,,
113,Son of Gondor,3,{1}{w/g}{w/g},Rare,,Creature,White,3,3,{3}: Son of Gondor gains +1/+1 and Double Strike until end of turn. Sacrifice Son of Gondor at the end of combat.,IRL,1,,,,
114,Nadal's Ass,3,{2}{u},Uncommon,,Creature,Blue,2,4,"Persist
Sacrifice a Treasure: Djokovic gets +1/+1 until end of turn.",IRL,2,,Buff,,
115,Djokovic,4,{3}{g},Uncommon,,Creature,Green,3,3,"First Strike, Hexproof",IRL,1,,,,
116,But Nobody Came,5,{3}{b}{b},Mythical,Legendary,Sorcery,Black,,,Destroy all creatures and exile all cards in all graveyards. Each player creates a Weapon.,UNDER,1,,Kill,,
117,Flowey / Omega Flowey,4,{2}{w/b}{w/b},Mythic,Legendary,Creature,White/Black,2,3,"{6}{w/b}{w/b}{w/b}, sacrifice a Food or Weapon: Monstrosity 6. When Flowey becomes monstrous, return up to 3 target creatures to their owner's hand and create 3 1/1 Plant creature tokens with deathtouch.",UNDER,1,,,,
118,Frisk / Chara,3,{1}{w/b}{w/b},Rare,,Creature,White/Black,1,5,"If Frisk dealt combat damage to a player or a creature, put a genocide counter and +1/-1 counter on it. If a creature it dealt damage to dies this turn, put a genocide counter on it.
Remove 3 genocide counters from Frisk: remove all +1/-1 counters from Frisk and transform it.",UNDER,1,"Chara: 3/3, double strike.
Sacrifice a creature you control: Chara gains +2/-2 until end of turn.",,,
119,Sans,1,{w/b},Uncommon,,Creature,White/Black,1,1,"{w/b}: Regenerate Sans
{w/b}: Sans deals 1 damage to target creature or player
{3}{w/b}, {t}: Create a 2/1 white and black Gaster Blaster artifact token",UNDER,1,,,,
120,Undyne the Undying,3,{w}{w/u}{w/u},Rare,,Creature,White/Blue,4,2,"Haste, Indestructible",UNDER,1,,,,
121,Avishai,2,{1}{b},Common,,Creature,Blue,2,2,Tap Avishai: create a Food and return Avishai to its owner's hand,IRL,1,,Buff,,
122,The Name of the Wind,,{2}{w/b}{w/b},Rare,,Instant,White/Red,,,"Each player shuffles their hand into their library and draws that many cards. You draw X cards, where X is how well you know the wind. Put The Name of the Wind X cards from the top or bottom of your library and increase the number of names you know by 1.
Creatures you control have haste and flying until end of turn.
",BOOK,2,,,,
123,Soulbound,,{1}{u/r}{u/r},Uncommon,,Enchantment,Blue/Red,,,"Whenever a player activates a donate ability, they lose 1 life.
Whenever a player begins an Event, they gain 1 life.",ROTMG,2,,,,
124,My Shredder,,{3},Uncommon,,Artifact,White,,,"{t}: Destroy target artifact. If it was a token, create a Treasure, Food, or Weapon.
Worth 1",TV,2,,,,
125,Stop Talking About Anime,3,{3},,,Instant,Colorless,-,-,"If a creature you controlled died this turn, you may search your graveyard or deck for a card which starts an Event and put it into your hand.
Storm",IRL,3,,,,
126,Who is he- (could be either mob ??? OR spot in Black mode like a scary character) ,3,{3},Legendary,,Sorcery,Colorless,-,-,"Target player chooses a card from their hand and places it face down. You do the same. Without revealing the cards to anyone, you each take the other's card and put it into your hand. All colors on those cards become Colorless.",ANIME,2,,,,
127,I DONT DRINK COLA ZERO,5,{3}{u}{u},Legendary,,Enchantment,Blue,,,"If your health is below 5, all creatures you control gain haste, first strike, and deathtouch.",IRL,2,,Minion,,
128,Mr. Frog,2,{g/b}{g/b},,,Creature,Green/Black,2,2,Lifelink,TV,3,,,,
129,T-1000 (terminator 2),5,{4}{p/u},,,Artifact Creature,blue,5,3,"{2}{p/u}:  T-1000 becomes unblockable until end of turn.
When T-1000 enters the battlefield, create a Weapon.
If a Weapon you control would deal damage, it deals twice that much instead.",TV,2,,Kill,,
130,I Remember Halloween,5,{5},,,Artifact,Colorless,,,"{t}, sacrifice a Treasure: counter target instant or sorcery.",IRL,2,"""Halloween! Halloween! Halloween!""",,,
131,Hiroyuki Sawano,4,{3}{w},Mythical,Legendary,Creature,White,4,2,"{5}: Create a Treasure. Deal 4 damage to split among any target.
Vigilance",IRL,1,,,,
132,Gun of Sondor,3,{3},Rare,,Artifact Equipment,Colorless,,,"Equip {2}: 
Equipped creature has, ""{2}, {t}, this creature deals damage to target creature equal to this creature's power.""",IRL,2,,,,
133,Log #8: The Abyss,3,{b}{b}{b},Rare,,Sorcery,Black,,,"As an additional cost to Log #8, exile target creature you control. You may exile another target creature you control. If you do, this spell can't be countered. 
Exile target creature. Its controller loses health equal to its power.",IRL,1,,Minion,,
134,Nexus Drop Party,,,,,SPECIAL EVENT,White,,,"Lasts 1 turn.
At the beginning of each player's upkeep, they choose Food, Treasure, or Weapon. Each player makes one of the chosen type. If that player chooses not to attack this turn, this Event lasts one more turn.",ROTMG,3,,,,
135,Nitra,1,{1},,,Artifact,,,,"Sacrifice Nitra: draw a card.
Donate",DRG,7,,,,
136,Gold,2,{2},,,Artifact,,,,"Sacrifice Gold: draw a card and create a Treasure.
Donate",DRG,5,,,,
137,Bismor,4,{4},,,Artifact,,,,"Sacrifice Bismor: draw a card and create 2 Treasures.
Donate
If you donate Bismor, scry 1.",DRG,4,,,,
138,Swarm,0,{0},-,-,SPECIAL EVENT,Green,,,"Swarm enters the battlefield with 2 time counters.
Every rotation, remove a time counter from Swarm. If it has no time counters, begin the following Event""
Wave 1: X Players opt in to fight 2 3/2 Green Glyphid creature tokens each. They may block collectively. Each player with at least 1 creature surviving creates 2 Treasures. They can choose to leave, but X doesn't change.
Boss: RAND = [4, 7]. X Players 2X + RAND / 2X + RAND. Each player with at least 1 creature surviving gets X Foods, Y Treasures, and Z Weapons, where X + Y + Z = 5.",DRG,3,,,,
139,For Karl!,5,{2}{u/b}{u/b}{u/b},Mythical,,Enchantment,Blue/Black,,,"Sacrifice a Food: put a +1/+1 counter on target creature.
When a creature you control dies, draw a card or create a Food.
",DRG,3,,Kill,,
140,Two Bits or Not Two Bits,1,{u/g},Common,,Instant,Blue/Green,,,"Choose one-
-Create 2 Treasures.
-Sacrifice two Treasures: draw 2 cards.",IRL,2,,Buff,,
141,"Whitebringr, decendant of Bastion",7,{5}{w}{w},Mythical,,Creature,White,6,5,"Reach
{9}, {t}: deal 9 damage to target creature.",ROTMG,1,,,,
142,"VoidDweller, the wanderer",,,Mythical,,Creature,Black,3,6,"Vigilance
Deathtouch",ROTMG,1,,Minion,,
143,Out of the Hat,1,{u},Common,,,,,,Shuffle target player's library. Draw a card.,ROEY,3,,,,
144,Rubber Room,,,,,SPECIAL EVENT,,,,"Lasts 2 turns
Whenever a creature dies, its controller sacrifices a Food token and creates a 1/1 Black Rat creature token. If they have no Foods, they lose 1 life instead.
If a creature died this turn, this Event lasts 1 more turn.",ROEY,2,,,,
145,Zombie Horde,,,Rare,Legendary,,,,,,MC,0,,,,
146,Labeb,,,Uncommon,,SPECIAL EVENT,,,,"Lasts 1 rotation
Each player creates Foods equal to the color to which they have the least devotion.
Players may sacrifice one Food to put a +1/+1 counter on target creature.
",IRL,2,,,,
147,Aren,,,Mythical,Legendary,Artifact,Red,,,"Sacrifice a creature or Food: place a +1/+1 counter on target creature.
Remove a +1/+1 counter from a creature you control: add one mana of any color to your mana pool.",BOOK,1,,,,
148,Greater Defense Potion,1,{g/w},Uncommon,,Instant,Neutral,,,Choose a color. Target creature gains protection from the chosen color until end of turn.,ROTMG,2,,,,
149,Fool's Mate,,,Mythical,,Instant,Neutral,,,Each player loses life equal to the number of Treasures they control. Donate abilities cannot be used until this spell resolves.,IRL,2,,,,
150,300 Black Men for Only 5 Pounds,,,Rare,,SPECIAL EVENT,Neutral,,,"Lasts 1 turn
Roll a d6. Each player creates their choice of X Foods, Y Treasures, and Z Weapons such that X+Y+Z is equal to the result.",IRL,3,,,,
151,Trip to Los Pollos Hermanos,,,,,Instant - EVENT,green,,,"Lasts 2 turns
When a creature dies, its controller creates a Food.
Sacrifice a Food: create a Weapon.",TV,3,,,,
152,Trip to Ellesmira,,,,,Instant - EVENT,green,,,"Lasts 1 turn
After this turn's combat phase, each player may tap a creature to scry 1 or tap 2 creatures and search their library for a land, put it onto the battlefield, and shuffle their library.",BOOK,2,,,,
153,Trip to Mordor,,,,,SPECIAL EVENT,red,,,"Lasts 2 rotations
Creatures get +2/-1.
Enchantments and artifacts are 0/2 creatures with haste in addition to their other types.",TV,2,,,,
154,Strange Larva,1,{b/g},,,Creature,Green/Black,0,3,"Strange Larva enters the battlefield with 2 time counters on it. At the end of your endstep, remove a time counter from Strange Larva. Then, if it has no time counters on it, transform it.
Strange Larva takes damage in the form of -0/-1 counters.",Inscryption,2,"Mothman: 7/3 Flying

Strange Larva takes damage in the form of -0/-1 counters.",,,
155,Feed Power,4,{3}{r/g},,,Enchantment,Red/Green,,,"Sacrifice a Treasure: put a +1/+1 counter on target creature. Target equipment it is equipped with gains hexproof until end of turn.
If a Weapon you control would deal damage, it deals twice that much instead.",ROTMG,3,,,,
156,Sweat Shop,5,{2}{b/g}{b/g}{b/g},,,SPECIAL EVENT,,,,"Lasts 1 rotation
Players may-
Sacrifice a Treasure: Create a 1/1 Human Child creature token with vigilance.
Sacrifice a Food: Create a 1/1 Human Child creature token and put a +1/+1 counter on it.
Sacrifice a Weapon: Create a 1/1 Human Child creature token with haste.",IRL,1,,,,
157,Collision of Men,7,{6}{w/r},,,Sorcery,,,,"Collision of Men costs X less to cast, where X is the number of active Events.

All creatures fight each other. (Pick a random number between 1 and X, where X is the number of creatures on the battlefield. The creature of the chose number survives. All others die.)",IRL,2,,,,
158,Oathbreaker,5,{r}{r}{r}{r}{r},Mythic,,,,5,5,"If a player donated to you and dealt damage to you on the same turn within the last rotation, you may cast Oathbreaker without paying its mana cost and it cannot be countered.
When Oathbreaker attacks a player, it gets +1/+0 until end of turn for each permanent you've donated to them this turn.
Haste",IRL,1,,,,
159,DFAC,0,{0},,,Instant,Black,,,"As an additional cost to DFAC, sacrifice a creature or land.
Counter target spell.",IRL,1,,Minion,,
160,Minmax,,,,,SPECIAL EVENT,,,,"Lasts 1 rotation
Creatures have trample.
When a creature deals excess combat damage to a player, its controller gains that many Treasures.",IRL,1,,,,
161,The Trapper,,,,,SPECIAL EVENT,,,,"Lasts 1 turn
When the Trapper enters the battlefield, each player who controls no Treasures gets 2 Treasures.
Players may sacrifice 2 Treasures to draw a card.
Players may sacrifice 4 Treasures to search their library for an Equipment, put it into their hand, and shuffle their library.",IRL,1,,,,
162,I Have Slain...,4,{2}{g}{g},,,Enchantment,Green,,,"I Have Slain... enters the battlefield with 1 charge counter on it.
Once during your turn, choose 1-
-Put a charge counter on I Have Slain... You may not attack this turn.
-Sacrifice I Have Slain... Deal damage equal to the number of charge counters on it to all creatures, and destroy all Weapons on the battlefield.",IRL,2,"""... my enemies.""",,,
163,The Wither,,,,,SPECIAL EVENT,,,,"The Wither enters the battlefield with 2 time counters.
Every rotation, remove a time counter from The Wither. If it has no time counters, begin the following Event:
Each of the X players chooses between 0 and 3 creatures to fight a 3X/3X Wither creature token.",MC,2,"Wither deals damage to creatures in the form of -1/-1 counters. If it would deal combat damage to a player, it deals X damage instead. Whenever it kills a creature, it deals 1 damage to that creature's controller.
If Wither would die and isn't monstrous, make it monstrous and its base power and toughness become 4X/4X.",,,
164,Determination,3,{u/g}{u/r}{r/g},,,,Blue/Red/Green,,,"Creatures target player controls gain indestructible until end of turn.
Draw a card.",UNDER,2,,Buff,,
165,Crossing the Alps,,,,,SPECIAL EVENT,,,,"You are in need of food for the long march into rome, for these next 2 turns, you MUST pay at 1 food token to survive each turn, if not you lose 4 health
You have the choice to redeem 2 food tokens for 1 elephant token (+3/+3 with trample)",IRL,2,,,,
166,Ender Dragon,8,{6}{b}{b},Mythical,,Creature,Black,7,10,"Each Treasure you sacrifice pays for {2} of Ender Dragon's mana or bloodrush cost. If you bloodrush it, exile it.
Flying, Persist, Bloodrush {8}{b}{b}",MC,1,,Minion,,
167,Jack Bower,4,{3}{w},Mythical,,Creature,white,3,2,"Deathtouch
Whenever Jack Bower deals combat damage, place that many time counters on him.
{t}, destroy target Weapon: Jack Bower deals 2 damage to any target. Activate this ability only if Jack Bower has 24 or more time counters on him. (Note ""destroy"", not ""sacrifice"". These can be opponents' Weapons.)",TV,1,,,,
168,Race Wars,,,Uncommon,,SPECIAL EVENT,,,,"Lasts 1 rotation
Creatures can be targeted as though they were players.",PB,1,,,,
169,Marcus Aurelius,4,{2}{w/r}{w/r},Mythical,,,white/red,2,2,"When Marcus Aurelius enters the battlefield, place a +1/+1 counter on each creature you control.
Marcus Aurelius has first strike as long as an Event is active.
{r/w}{r/w}, {t}: Search your library for a card which could start an Event and put it into your hand.",IRL,1,,,,
170,Commodus,4,{3}{g},Uncommon,,,green,1,1,"When Commodus enters the battlefield, place a -1/-1 counter on every other creature. Place that +1/+1 counters equal to the number of other creatures on Commodus.
When Commodus dies, remove any -1/-1 counters placed by Commodus.",IRL,1,,,,
171,The Wall,,,,,SPECIAL EVENT,white,,,"Lasts 1 turn
Say ""11:11"", then put the wall in the center of the battlefield. All other players must stack one of their hands on the card. Each receives damage equal to their place. (I.e. the first loses 1 life, the second loses 2 life, and so on.)",IRL,3,,,,
172,Haikyuu R34,1,{r},Common,,Instant,red,,,"Tap target creature.
Return target tapped creature to its owner's hand.",IRL,2,,Nerf,,
173,Slumber,2,{1}{u/g},,,,Blue/Green,,,Target player or creature cannot attack this turn. They draw a card.,IRL,2,,Buff,,
174,Destiny Draw,5,{5},Rare,,Instant,Colorless,,,"Search your library for a card, place it on the battlefield face-down, and shuffle your library. You may cast that card for {X}, where X is its converted mana cost minus: one quarter of the difference between your starting life total and you current life total, rounded up. If you cast it this way and it would enter a graveyard afterwards, put it into exile instead.",IRL,2,,,,
1001,,,,,,Artifacts,17,,,,,,,,,
1002,,,,,,black,0,34,,,,,,,,
1003,,,,,,blue,0,34,,,,,,,,
1004,,,,,,colorless,0,31,,,,,,,,
1005,,,,,,Creatures,71,,,,,,,,,
1006,,,,,,Enchantments,13,,,"HALVING HEALTH OR SMTH
BRAINWASHING
NEGATIVE EFFECTS ON PLAYER NOT CREATURE
DONATE FEATURE ON GIVING THINGS",,,,,,
1007,,,,,,green,0,32,,,,,,,,
1008,,,,,,Instants,33,,,,,,,,,
1009,,,,,,red,0,35,,,,,,,,
1010,,,,,,Sorceries,20,,,,,,,,,
1011,,,,,,Special Events,18,,,,,,,,,
1012,,,,,,white,0,35,,,,,,,,
1013,,,,,,,,,,,,,,,,
1014,,,,,CMC,0,3,,,,,,,,,
1015,,,,,,1,22,,,,,,,,,
1016,,,,,,2,26,,,,,,,,,
1017,,,,,,3,37,,,,,,,,,
1018,,,,,,4,22,,,,,,,,,
,[Product],,,black,,,,,,,,,,,,
,Carthage,,,blue,,,,,,,,,,,,
,Crystalline Caverns,,,white,,,,,,,,,,,,
,Farthen Dur,,,black,,,,,,,,,,,,
,Field of hopes and dreams,,,white,,,,,,,,,,,,
,Hertsliya Park,,,green,,,,,,,,,,,,
,HotLand,,,red,,,,,,,,,,,,
,Hypixel Football,,,green,,,,,,,,,,,,
,icon fitness,,,red,,,,,,,,,,,,
,Kill The Mule,,,green,,,,,,,,,,,,
,Kvish 6,,,white,,,,,,,,,,,,
,Lands,,,,,,,,,,,,,,,
,Leshy's Cabin,,,black,,,,,,,,,,,,
,Miilya,,,green,,,,,,,,,,,,
,Mordor,,,red,,,,,,,,,,,,
,My Castle Town,,,black,,,,,,,,,,,,
,Nexus,,,white,,,,,,,,,,,,
,Ocean that is an ocean,,,blue,,,,,,,,,,,,
,Operating Systems,,,black,,,,,,,,,,,,
,Parker,,,green,,,,,,,,,,,,
,Rome,,,white,,,,,,,,,,,,
,Rosto,,,red,,,,,,,,,,,,
,Seven Star Mall,,,blue,,,,,,,,,,,,
,space fitness,,,blue,,,,,,,,,,,,
,The Nether,,,red,,,,,,,,,,,,
,The Paths,,,white,,,,,,,,,,,,
,The Valley,(house basement),,blue,,,,,,,,,,,,
,Tip Tov,,,green,,,,,,,,,,,,
,Total War,,,red,,,,,,,,,,,,
,Wrong Nexus,(league nexus),,blue,,,,,,,,,,,,
,Zaun,,,black,,,,,,,,,,,,
,,,,,,9,0,,,,,,,,,
,,,,,,10,0,,,,,,,,,
,,,,,,7,2,,,Food,,,,,,
,,,,,,8,2,,,Weapon,,,,,,
,,,,,,6,6,,,Treasure,,,,,,
,,,,,,5,26,,,Elephant Token,,,,,,
,,,,,,6 black,,,,,,,,,,
,,,,,,6 blue,,,,,,,,,,
,,,,,,6 green,,,,,,,,,,
,,,,,,6 red,,,,,,,,,,
,,,,,,6 white,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,All lands are legendary,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,Icons,,,,,,,,